state,zipcode,total_pop,total_income,country,avg_income
NV,89130,16670,1021393,USA,61271.32573485303
NV,89131,22390,1954106,USA,87275.83742742296
NV,89134,12980,1841946,USA,141906.47149460707
NV,89135,15080,3765481,USA,249700.33156498673
NV,89138,8440,1475161,USA,174782.10900473932
NV,89139,21870,1342039,USA,61364.38042981253
NV,89141,16910,1857539,USA,109848.5511531638
NV,89142,16300,646050,USA,39634.969325153375
NV,89143,5750,399280,USA,69440
NV,89144,9190,1369841,USA,149057.78019586508
NV,89145,12420,1515467,USA,122018.2769726248
NV,89146,9180,511957,USA,55768.736383442265
NV,89147,27530,1483729,USA,53894.98728659644
NV,89148,28560,2113917,USA,74016.70168067227
NV,89149,19240,1695792,USA,88138.87733887734
NV,89156,12310,484847,USA,39386.43379366369
NV,89161,160,23080,USA,144250
NV,89166,11050,831837,USA,75279.3665158371
NV,89169,9970,797573,USA,79997.29187562688
NV,89178,19200,1322304,USA,68870
NV,89179,5250,382505,USA,72858.09523809524
NV,89183,18910,1095772,USA,57946.69487043892
NV,89301,2370,139208,USA,58737.55274261603
NV,89310,200,11835,USA,59175
NV,89311,100,5567,USA,55670
NV,89316,530,40107,USA,75673.58490566038
NV,89403,8100,481734,USA,59473.333333333336
NV,89406,10810,610808,USA,56503.977798334876
NV,89408,10250,566822,USA,55299.707317073175
NV,89410,5740,471407,USA,82126.6550522648
NV,89413,190,128076,USA,674084.2105263158
NV,89414,120,6982,USA,58183.333333333336
NV,89415,1500,76406,USA,50937.333333333336
NV,89418,130,6061,USA,46623.07692307692
NV,89419,1470,80272,USA,54606.80272108843
NV,89423,6270,554487,USA,88434.92822966508
NV,89425,190,13278,USA,69884.21052631579
NV,89429,3210,144194,USA,44920.2492211838
NV,89430,270,18775,USA,69537.03703703704
NV,89431,18690,807715,USA,43216.42589620117
NV,89433,9450,373369,USA,39509.94708994709
NV,89434,13840,921585,USA,66588.51156069365
NV,89436,22210,1773416,USA,79847.63619990995
NV,89439,970,162367,USA,167388.65979381444
NV,89441,6610,597075,USA,90329.04689863842
